Question,Réponse,Lien,Catégorie,combined
Qui est le responsable du département Génie Civil ?,Le Pr. Martin est responsable. Contactez-le via le portail.,http://iset.example.com/departements,Professeurs,"Qui est le responsable du département Génie Civil ?
Le Pr. Martin est responsable. Contactez-le via le portail.
Lien: http://iset.example.com/departements"
Quels sont les horaires de bureau des professeurs ?,Les horaires de bureau sont sur le portail enseignant.,http://iset.example.com/enseignants,Professeurs,"Quels sont les horaires de bureau des professeurs ?
Les horaires de bureau sont sur le portail enseignant.
Lien: http://iset.example.com/enseignants"
Qui enseigne Bases de données ?,Le cours est enseigné par Mme. Leclerc. Consultez le programme.,http://iset.example.com/programmes,Professeurs,"Qui enseigne Bases de données ?
Le cours est enseigné par Mme. Leclerc. Consultez le programme.
Lien: http://iset.example.com/programmes"
Comment prendre rendez-vous avec un professeur ?,Envoyez un email via le portail enseignant pour un rendez-vous.,http://iset.example.com/enseignants,Professeurs,"Comment prendre rendez-vous avec un professeur ?
Envoyez un email via le portail enseignant pour un rendez-vous.
Lien: http://iset.example.com/enseignants"
Qui est le coordinateur des cours d’informatique ?,Le coordinateur est le Pr. Dubois. Contactez-le via le portail.,http://iset.example.com/departements,Professeurs,"Qui est le coordinateur des cours d’informatique ?
Le coordinateur est le Pr. Dubois. Contactez-le via le portail.
Lien: http://iset.example.com/departements"
Où se déroule le cours de Bases de données ?,Le cours a lieu en salle B-204. Vérifiez l’affichage des salles.,http://iset.example.com/salles,Salles,"Où se déroule le cours de Bases de données ?
Le cours a lieu en salle B-204. Vérifiez l’affichage des salles.
Lien: http://iset.example.com/salles"
Y a-t-il des salles libres pour étudier ?,Les salles libres sont indiquées sur le planning des salles.,http://iset.example.com/salles,Salles,"Y a-t-il des salles libres pour étudier ?
Les salles libres sont indiquées sur le planning des salles.
Lien: http://iset.example.com/salles"
Comment réserver une salle pour un projet ?,Les réservations se font via le bureau administratif.,http://iset.example.com/salles,Salles,"Comment réserver une salle pour un projet ?
Les réservations se font via le bureau administratif.
Lien: http://iset.example.com/salles"
Où trouver le plan des salles de l’ISET ?,"Le plan des salles est sur le site, section Infrastructures.",http://iset.example.com/infrastructures,Salles,"Où trouver le plan des salles de l’ISET ?
Le plan des salles est sur le site, section Infrastructures.
Lien: http://iset.example.com/infrastructures"
Quelle salle pour le cours de Mécanique ?,Le cours de Mécanique est en salle C-302. Vérifiez le planning.,http://iset.example.com/salles,Salles,"Quelle salle pour le cours de Mécanique ?
Le cours de Mécanique est en salle C-302. Vérifiez le planning.
Lien: http://iset.example.com/salles"
Les salles ont-elles des projecteurs ?,La plupart des salles sont équipées de projecteurs. Vérifiez avec l’administration.,http://iset.example.com/salles,Salles,"Les salles ont-elles des projecteurs ?
La plupart des salles sont équipées de projecteurs. Vérifiez avec l’administration.
Lien: http://iset.example.com/salles"
Quelles sont les branches disponibles à l’ISET ?,"Les branches incluent Informatique, Génie Civil, et Gestion. Voir le site.",http://iset.example.com/branches,Branches,"Quelles sont les branches disponibles à l’ISET ?
Les branches incluent Informatique, Génie Civil, et Gestion. Voir le site.
Lien: http://iset.example.com/branches"
Quels cours sont proposés en Génie Civil ?,Les cours incluent Mécanique des structures et Hydraulique. Consultez le programme.,http://iset.example.com/programmes/genie-civil,Branches,"Quels cours sont proposés en Génie Civil ?
Les cours incluent Mécanique des structures et Hydraulique. Consultez le programme.
Lien: http://iset.example.com/programmes/genie-civil"
Quelles sont les options en Informatique ?,"Les options incluent Réseaux, Développement logiciel, et Data Science.",http://iset.example.com/programmes/informatique,Branches,"Quelles sont les options en Informatique ?
Les options incluent Réseaux, Développement logiciel, et Data Science.
Lien: http://iset.example.com/programmes/informatique"
Est-il possible de changer de branche ?,"Oui, soumettez une demande au bureau académique avant la date limite.",http://iset.example.com/administration,Branches,"Est-il possible de changer de branche ?
Oui, soumettez une demande au bureau académique avant la date limite.
Lien: http://iset.example.com/administration"
Quels sont les prérequis pour la branche Gestion ?,Les prérequis sont indiqués dans le programme de Gestion.,http://iset.example.com/programmes/gestion,Branches,"Quels sont les prérequis pour la branche Gestion ?
Les prérequis sont indiqués dans le programme de Gestion.
Lien: http://iset.example.com/programmes/gestion"
Quand aura lieu l’examen de Mathématiques ?,Les dates des examens sont publiées sur le calendrier universitaire.,http://iset.example.com/examens,Examens,"Quand aura lieu l’examen de Mathématiques ?
Les dates des examens sont publiées sur le calendrier universitaire.
Lien: http://iset.example.com/examens"
Comment s’inscrire aux examens ?,L’inscription se fait via le portail étudiant avant la date limite.,http://iset.example.com/examens,Examens,"Comment s’inscrire aux examens ?
L’inscription se fait via le portail étudiant avant la date limite.
Lien: http://iset.example.com/examens"
Où trouver les résultats des examens ?,Les résultats sont publiés sur le portail étudiant.,http://iset.example.com/resultats,Examens,"Où trouver les résultats des examens ?
Les résultats sont publiés sur le portail étudiant.
Lien: http://iset.example.com/resultats"
Que faire si je rate un examen ?,Contactez le bureau académique pour les sessions de rattrapage.,http://iset.example.com/examens,Examens,"Que faire si je rate un examen ?
Contactez le bureau académique pour les sessions de rattrapage.
Lien: http://iset.example.com/examens"
Quand est l’examen de Python ?,L’examen de Python est prévu en décembre. Consultez le calendrier.,http://iset.example.com/examens,Examens,"Quand est l’examen de Python ?
L’examen de Python est prévu en décembre. Consultez le calendrier.
Lien: http://iset.example.com/examens"
Comment demander une révision d’examen ?,Soumettez une demande au bureau académique dans les 7 jours.,http://iset.example.com/examens,Examens,"Comment demander une révision d’examen ?
Soumettez une demande au bureau académique dans les 7 jours.
Lien: http://iset.example.com/examens"
Comment demander un certificat de scolarité ?,Rendez-vous au bureau administratif avec votre carte d’étudiant.,http://iset.example.com/administration,Administration,"Comment demander un certificat de scolarité ?
Rendez-vous au bureau administratif avec votre carte d’étudiant.
Lien: http://iset.example.com/administration"
Où payer les frais d’inscription ?,Les frais sont payables en ligne via le portail administratif.,http://iset.example.com/administration,Administration,"Où payer les frais d’inscription ?
Les frais sont payables en ligne via le portail administratif.
Lien: http://iset.example.com/administration"
Comment obtenir une carte d’étudiant ?,La carte est délivrée au bureau administratif après l’inscription.,http://iset.example.com/administration,Administration,"Comment obtenir une carte d’étudiant ?
La carte est délivrée au bureau administratif après l’inscription.
Lien: http://iset.example.com/administration"
Quels documents fournir pour l’inscription ?,"Vous devez fournir une pièce d’identité, un certificat de bac, et une photo.",http://iset.example.com/inscription,Administration,"Quels documents fournir pour l’inscription ?
Vous devez fournir une pièce d’identité, un certificat de bac, et une photo.
Lien: http://iset.example.com/inscription"
Comment changer mes informations personnelles ?,Mettez à jour vos informations via le portail étudiant.,http://iset.example.com/administration,Administration,"Comment changer mes informations personnelles ?
Mettez à jour vos informations via le portail étudiant.
Lien: http://iset.example.com/administration"
Comment postuler pour une bourse ?,Soumettez votre dossier via le portail des bourses avant la date limite.,http://iset.example.com/bourses,Bourses,"Comment postuler pour une bourse ?
Soumettez votre dossier via le portail des bourses avant la date limite.
Lien: http://iset.example.com/bourses"
Quels sont les critères pour une bourse ?,Les critères incluent le revenu familial et les résultats académiques.,http://iset.example.com/bourses,Bourses,"Quels sont les critères pour une bourse ?
Les critères incluent le revenu familial et les résultats académiques.
Lien: http://iset.example.com/bourses"
Quand est la date limite pour demander une bourse ?,La date limite est le 15 octobre. Vérifiez sur le portail.,http://iset.example.com/bourses,Bourses,"Quand est la date limite pour demander une bourse ?
La date limite est le 15 octobre. Vérifiez sur le portail.
Lien: http://iset.example.com/bourses"
Comment savoir si ma demande de bourse est acceptée ?,Les résultats sont publiés sur le portail des bourses.,http://iset.example.com/bourses,Bourses,"Comment savoir si ma demande de bourse est acceptée ?
Les résultats sont publiés sur le portail des bourses.
Lien: http://iset.example.com/bourses"
Quels types de bourses sont disponibles ?,Il y a des bourses de mérite et des aides financières. Consultez le portail.,http://iset.example.com/bourses,Bourses,"Quels types de bourses sont disponibles ?
Il y a des bourses de mérite et des aides financières. Consultez le portail.
Lien: http://iset.example.com/bourses"
Où trouver le règlement intérieur de l’ISET ?,"Le règlement est disponible sur le site, section Ressources.",http://iset.example.com/ressources,Général,"Où trouver le règlement intérieur de l’ISET ?
Le règlement est disponible sur le site, section Ressources.
Lien: http://iset.example.com/ressources"
Comment accéder à la bibliothèque ?,La bibliothèque est ouverte aux étudiants avec une carte d’étudiant.,http://iset.example.com/bibliotheque,Général,"Comment accéder à la bibliothèque ?
La bibliothèque est ouverte aux étudiants avec une carte d’étudiant.
Lien: http://iset.example.com/bibliotheque"
Y a-t-il un accès Wi-Fi à l’ISET ?,"Oui, connectez-vous avec vos identifiants étudiants. Voir la section IT.",http://iset.example.com/services-it,Général,"Y a-t-il un accès Wi-Fi à l’ISET ?
Oui, connectez-vous avec vos identifiants étudiants. Voir la section IT.
Lien: http://iset.example.com/services-it"
Quels sont les clubs étudiants à l’ISET ?,"Les clubs incluent Robotique, Culture, et Sports. Consultez la page des activités.",http://iset.example.com/activites,Général,"Quels sont les clubs étudiants à l’ISET ?
Les clubs incluent Robotique, Culture, et Sports. Consultez la page des activités.
Lien: http://iset.example.com/activites"
Quand a lieu la journée portes ouvertes ?,La journée portes ouvertes est prévue en mars. Vérifiez le calendrier.,http://iset.example.com/evenements,Général,"Quand a lieu la journée portes ouvertes ?
La journée portes ouvertes est prévue en mars. Vérifiez le calendrier.
Lien: http://iset.example.com/evenements"
Comment signaler un problème technique ?,Contactez le service informatique via le portail IT.,http://iset.example.com/services-it,Général,"Comment signaler un problème technique ?
Contactez le service informatique via le portail IT.
Lien: http://iset.example.com/services-it"
Où trouver les offres de stage ?,Les offres de stage sont publiées sur le portail carrière.,http://iset.example.com/carriere,Général,"Où trouver les offres de stage ?
Les offres de stage sont publiées sur le portail carrière.
Lien: http://iset.example.com/carriere"
Comment participer aux compétitions académiques ?,Inscrivez-vous via le bureau des activités étudiantes.,http://iset.example.com/activites,Général,"Comment participer aux compétitions académiques ?
Inscrivez-vous via le bureau des activités étudiantes.
Lien: http://iset.example.com/activites"
Quels sont les horaires de la bibliothèque ?,La bibliothèque est ouverte de 8h à 18h du lundi au vendredi.,http://iset.example.com/bibliotheque,Bibliothèque,"Quels sont les horaires de la bibliothèque ?
La bibliothèque est ouverte de 8h à 18h du lundi au vendredi.
Lien: http://iset.example.com/bibliotheque"
Comment emprunter un livre ?,Présentez votre carte d’étudiant à la bibliothèque.,http://iset.example.com/bibliotheque,Bibliothèque,"Comment emprunter un livre ?
Présentez votre carte d’étudiant à la bibliothèque.
Lien: http://iset.example.com/bibliotheque"
Y a-t-il des ressources en ligne à la bibliothèque ?,"Oui, accédez aux bases de données via le portail de la bibliothèque.",http://iset.example.com/bibliotheque,Bibliothèque,"Y a-t-il des ressources en ligne à la bibliothèque ?
Oui, accédez aux bases de données via le portail de la bibliothèque.
Lien: http://iset.example.com/bibliotheque"
Comment réserver un livre ?,Les réservations se font via le portail de la bibliothèque.,http://iset.example.com/bibliotheque,Bibliothèque,"Comment réserver un livre ?
Les réservations se font via le portail de la bibliothèque.
Lien: http://iset.example.com/bibliotheque"
Quels sont les services informatiques de l’ISET ?,"Les services incluent Wi-Fi, comptes étudiants, et support technique.",http://iset.example.com/services-it,Services IT,"Quels sont les services informatiques de l’ISET ?
Les services incluent Wi-Fi, comptes étudiants, et support technique.
Lien: http://iset.example.com/services-it"
Comment obtenir un compte étudiant ?,Le compte est créé automatiquement après l’inscription.,http://iset.example.com/services-it,Services IT,"Comment obtenir un compte étudiant ?
Le compte est créé automatiquement après l’inscription.
Lien: http://iset.example.com/services-it"
Que faire si j’oublie mon mot de passe ?,Réinitialisez votre mot de passe via le portail IT.,http://iset.example.com/services-it,Services IT,"Que faire si j’oublie mon mot de passe ?
Réinitialisez votre mot de passe via le portail IT.
Lien: http://iset.example.com/services-it"
Comment accéder aux logiciels académiques ?,Les logiciels sont disponibles sur les ordinateurs du campus.,http://iset.example.com/services-it,Services IT,"Comment accéder aux logiciels académiques ?
Les logiciels sont disponibles sur les ordinateurs du campus.
Lien: http://iset.example.com/services-it"
Quels sont les événements à venir à l’ISET ?,Les événements sont listés sur le calendrier des événements.,http://iset.example.com/evenements,Événements,"Quels sont les événements à venir à l’ISET ?
Les événements sont listés sur le calendrier des événements.
Lien: http://iset.example.com/evenements"
Quand a lieu la cérémonie de remise des diplômes ?,La cérémonie est prévue en juin. Vérifiez le calendrier.,http://iset.example.com/evenements,Événements,"Quand a lieu la cérémonie de remise des diplômes ?
La cérémonie est prévue en juin. Vérifiez le calendrier.
Lien: http://iset.example.com/evenements"
Comment s’inscrire à un atelier ?,Inscrivez-vous via le portail des activités.,http://iset.example.com/activites,Événements,"Comment s’inscrire à un atelier ?
Inscrivez-vous via le portail des activités.
Lien: http://iset.example.com/activites"
Y a-t-il des conférences à l’ISET ?,"Oui, les conférences sont annoncées sur le site.",http://iset.example.com/evenements,Événements,"Y a-t-il des conférences à l’ISET ?
Oui, les conférences sont annoncées sur le site.
Lien: http://iset.example.com/evenements"
Comment rejoindre le club de robotique ?,Inscrivez-vous via le bureau des activités étudiantes.,http://iset.example.com/activites,Clubs,"Comment rejoindre le club de robotique ?
Inscrivez-vous via le bureau des activités étudiantes.
Lien: http://iset.example.com/activites"
Quelles sont les activités du club culturel ?,Le club organise des expositions et des spectacles. Voir le site.,http://iset.example.com/activites,Clubs,"Quelles sont les activités du club culturel ?
Le club organise des expositions et des spectacles. Voir le site.
Lien: http://iset.example.com/activites"
Y a-t-il un club de sport ?,"Oui, le club de sport propose football, basketball, et plus.",http://iset.example.com/activites,Clubs,"Y a-t-il un club de sport ?
Oui, le club de sport propose football, basketball, et plus.
Lien: http://iset.example.com/activites"
Comment organiser une activité étudiante ?,Soumettez une proposition au bureau des activités.,http://iset.example.com/activites,Clubs,"Comment organiser une activité étudiante ?
Soumettez une proposition au bureau des activités.
Lien: http://iset.example.com/activites"
Quelles sont les conditions pour un stage ?,Les stages doivent être validés par le département académique.,http://iset.example.com/carriere,Stages,"Quelles sont les conditions pour un stage ?
Les stages doivent être validés par le département académique.
Lien: http://iset.example.com/carriere"
Comment rédiger un rapport de stage ?,Les consignes sont sur le portail carrière.,http://iset.example.com/carriere,Stages,"Comment rédiger un rapport de stage ?
Les consignes sont sur le portail carrière.
Lien: http://iset.example.com/carriere"
Où trouver des entreprises pour un stage ?,Consultez le portail carrière pour les partenariats.,http://iset.example.com/carriere,Stages,"Où trouver des entreprises pour un stage ?
Consultez le portail carrière pour les partenariats.
Lien: http://iset.example.com/carriere"
Les stages sont-ils rémunérés ?,Cela dépend de l’entreprise. Vérifiez avec le portail carrière.,http://iset.example.com/carriere,Stages,"Les stages sont-ils rémunérés ?
Cela dépend de l’entreprise. Vérifiez avec le portail carrière.
Lien: http://iset.example.com/carriere"
Comment valider mon stage ?,Soumettez votre rapport et obtenez l’approbation du département.,http://iset.example.com/carriere,Stages,"Comment valider mon stage ?
Soumettez votre rapport et obtenez l’approbation du département.
Lien: http://iset.example.com/carriere"
Y a-t-il des cours de langue à l’ISET ?,"Oui, des cours d’anglais et d’autres langues sont proposés.",http://iset.example.com/programmes,Cours,"Y a-t-il des cours de langue à l’ISET ?
Oui, des cours d’anglais et d’autres langues sont proposés.
Lien: http://iset.example.com/programmes"
Quels sont les cours optionnels ?,Les cours optionnels sont listés dans le programme de votre branche.,http://iset.example.com/programmes,Cours,"Quels sont les cours optionnels ?
Les cours optionnels sont listés dans le programme de votre branche.
Lien: http://iset.example.com/programmes"
Comment s’inscrire à un cours optionnel ?,Inscrivez-vous via le portail étudiant.,http://iset.example.com/programmes,Cours,"Comment s’inscrire à un cours optionnel ?
Inscrivez-vous via le portail étudiant.
Lien: http://iset.example.com/programmes"
Quels sont les crédits pour le cours de Python ?,Le cours de Python vaut 6 crédits. Consultez le programme.,http://iset.example.com/programmes,Cours,"Quels sont les crédits pour le cours de Python ?
Le cours de Python vaut 6 crédits. Consultez le programme.
Lien: http://iset.example.com/programmes"
Y a-t-il des cours du soir ?,Certains cours sont proposés en soirée. Vérifiez le portail.,http://iset.example.com/horaires,Horaires,"Y a-t-il des cours du soir ?
Certains cours sont proposés en soirée. Vérifiez le portail.
Lien: http://iset.example.com/horaires"
Comment obtenir un relevé de notes ?,Le relevé est disponible sur le portail étudiant.,http://iset.example.com/administration,Administration,"Comment obtenir un relevé de notes ?
Le relevé est disponible sur le portail étudiant.
Lien: http://iset.example.com/administration"
Quand est la date limite d’inscription ?,La date limite est le 30 août. Consultez le site.,http://iset.example.com/inscription,Administration,"Quand est la date limite d’inscription ?
La date limite est le 30 août. Consultez le site.
Lien: http://iset.example.com/inscription"
Comment demander un congé académique ?,Soumettez une demande au bureau académique.,http://iset.example.com/administration,Administration,"Comment demander un congé académique ?
Soumettez une demande au bureau académique.
Lien: http://iset.example.com/administration"
Y a-t-il des frais pour les certificats ?,Les certificats sont gratuits pour les étudiants inscrits.,http://iset.example.com/administration,Administration,"Y a-t-il des frais pour les certificats ?
Les certificats sont gratuits pour les étudiants inscrits.
Lien: http://iset.example.com/administration"
Comment vérifier mon statut d’inscription ?,Vérifiez votre statut sur le portail étudiant.,http://iset.example.com/administration,Administration,"Comment vérifier mon statut d’inscription ?
Vérifiez votre statut sur le portail étudiant.
Lien: http://iset.example.com/administration"
Quels sont les horaires du bureau administratif ?,Le bureau est ouvert de 9h à 16h du lundi au vendredi.,http://iset.example.com/administration,Administration,"Quels sont les horaires du bureau administratif ?
Le bureau est ouvert de 9h à 16h du lundi au vendredi.
Lien: http://iset.example.com/administration"
Comment demander une attestation de présence ?,Rendez-vous au bureau administratif avec votre carte d’étudiant.,http://iset.example.com/administration,Administration,"Comment demander une attestation de présence ?
Rendez-vous au bureau administratif avec votre carte d’étudiant.
Lien: http://iset.example.com/administration"
Y a-t-il des bourses pour les étudiants internationaux ?,"Oui, des bourses spécifiques sont disponibles. Consultez le portail.",http://iset.example.com/bourses,Bourses,"Y a-t-il des bourses pour les étudiants internationaux ?
Oui, des bourses spécifiques sont disponibles. Consultez le portail.
Lien: http://iset.example.com/bourses"
Comment renouveler ma bourse ?,Soumettez une nouvelle demande chaque année via le portail.,http://iset.example.com/bourses,Bourses,"Comment renouveler ma bourse ?
Soumettez une nouvelle demande chaque année via le portail.
Lien: http://iset.example.com/bourses"
Quels documents pour une demande de bourse ?,Fournissez un certificat de revenu et vos relevés de notes.,http://iset.example.com/bourses,Bourses,"Quels documents pour une demande de bourse ?
Fournissez un certificat de revenu et vos relevés de notes.
Lien: http://iset.example.com/bourses"
Y a-t-il des aides pour le logement ?,Des aides sont disponibles via le bureau des bourses.,http://iset.example.com/bourses,Bourses,"Y a-t-il des aides pour le logement ?
Des aides sont disponibles via le bureau des bourses.
Lien: http://iset.example.com/bourses"
Comment trouver un logement près de l’ISET ?,Consultez la section Logement sur le site.,http://iset.example.com/ressources,Général,"Comment trouver un logement près de l’ISET ?
Consultez la section Logement sur le site.
Lien: http://iset.example.com/ressources"
Y a-t-il une cafétéria à l’ISET ?,"Oui, la cafétéria est ouverte de 7h à 17h.",http://iset.example.com/ressources,Général,"Y a-t-il une cafétéria à l’ISET ?
Oui, la cafétéria est ouverte de 7h à 17h.
Lien: http://iset.example.com/ressources"
Quels sont les services de santé à l’ISET ?,Un centre médical est disponible sur le campus.,http://iset.example.com/ressources,Général,"Quels sont les services de santé à l’ISET ?
Un centre médical est disponible sur le campus.
Lien: http://iset.example.com/ressources"
Comment signaler un problème de sécurité ?,Contactez la sécurité via le portail ou appelez le numéro d’urgence.,http://iset.example.com/ressources,Général,"Comment signaler un problème de sécurité ?
Contactez la sécurité via le portail ou appelez le numéro d’urgence.
Lien: http://iset.example.com/ressources"
Y a-t-il un parking pour les étudiants ?,"Oui, un parking est disponible avec un permis étudiant.",http://iset.example.com/ressources,Général,"Y a-t-il un parking pour les étudiants ?
Oui, un parking est disponible avec un permis étudiant.
Lien: http://iset.example.com/ressources"
Comment obtenir un permis de parking ?,Demandez-le au bureau administratif.,http://iset.example.com/administration,Administration,"Comment obtenir un permis de parking ?
Demandez-le au bureau administratif.
Lien: http://iset.example.com/administration"
Quels sont les numéros d’urgence à l’ISET ?,"Les numéros sont affichés sur le site, section Sécurité.",http://iset.example.com/ressources,Général,"Quels sont les numéros d’urgence à l’ISET ?
Les numéros sont affichés sur le site, section Sécurité.
Lien: http://iset.example.com/ressources"
Y a-t-il des salles informatiques ?,"Oui, les salles informatiques sont accessibles avec un compte étudiant.",http://iset.example.com/services-it,Services IT,"Y a-t-il des salles informatiques ?
Oui, les salles informatiques sont accessibles avec un compte étudiant.
Lien: http://iset.example.com/services-it"
Comment réserver une salle informatique ?,Les réservations se font via le portail IT.,http://iset.example.com/services-it,Services IT,"Comment réserver une salle informatique ?
Les réservations se font via le portail IT.
Lien: http://iset.example.com/services-it"
Y a-t-il des imprimantes sur le campus ?,Des imprimantes sont disponibles dans les salles informatiques.,http://iset.example.com/services-it,Services IT,"Y a-t-il des imprimantes sur le campus ?
Des imprimantes sont disponibles dans les salles informatiques.
Lien: http://iset.example.com/services-it"
Comment payer pour l’impression ?,Utilisez votre compte étudiant pour les impressions.,http://iset.example.com/services-it,Services IT,"Comment payer pour l’impression ?
Utilisez votre compte étudiant pour les impressions.
Lien: http://iset.example.com/services-it"
Quels sont les horaires des salles informatiques ?,Les salles sont ouvertes de 8h à 20h.,http://iset.example.com/services-it,Services IT,"Quels sont les horaires des salles informatiques ?
Les salles sont ouvertes de 8h à 20h.
Lien: http://iset.example.com/services-it"
Y a-t-il des cours en ligne ?,Certains cours sont disponibles en ligne via le portail étudiant.,http://iset.example.com/programmes,Cours,"Y a-t-il des cours en ligne ?
Certains cours sont disponibles en ligne via le portail étudiant.
Lien: http://iset.example.com/programmes"
Comment accéder aux cours en ligne ?,Connectez-vous au portail étudiant avec vos identifiants.,http://iset.example.com/programmes,Cours,"Comment accéder aux cours en ligne ?
Connectez-vous au portail étudiant avec vos identifiants.
Lien: http://iset.example.com/programmes"
Quels sont les prérequis pour les cours en ligne ?,Un compte étudiant et une connexion Internet sont nécessaires.,http://iset.example.com/programmes,Cours,"Quels sont les prérequis pour les cours en ligne ?
Un compte étudiant et une connexion Internet sont nécessaires.
Lien: http://iset.example.com/programmes"
Y a-t-il des tutoriels pour les logiciels ?,Des tutoriels sont disponibles sur le portail IT.,http://iset.example.com/services-it,Services IT,"Y a-t-il des tutoriels pour les logiciels ?
Des tutoriels sont disponibles sur le portail IT.
Lien: http://iset.example.com/services-it"
Comment soumettre un projet ?,Soumettez vos projets via le portail étudiant.,http://iset.example.com/programmes,Cours,"Comment soumettre un projet ?
Soumettez vos projets via le portail étudiant.
Lien: http://iset.example.com/programmes"
Quels sont les délais pour soumettre un projet ?,Les délais sont indiqués dans le programme du cours.,http://iset.example.com/programmes,Cours,"Quels sont les délais pour soumettre un projet ?
Les délais sont indiqués dans le programme du cours.
Lien: http://iset.example.com/programmes"
Comment obtenir une extension pour un projet ?,Contactez votre professeur pour demander une extension.,http://iset.example.com/programmes,Cours,"Comment obtenir une extension pour un projet ?
Contactez votre professeur pour demander une extension.
Lien: http://iset.example.com/programmes"
Y a-t-il des sessions de rattrapage ?,"Oui, les sessions de rattrapage sont organisées après les examens.",http://iset.example.com/examens,Examens,"Y a-t-il des sessions de rattrapage ?
Oui, les sessions de rattrapage sont organisées après les examens.
Lien: http://iset.example.com/examens"
Comment s’inscrire à une session de rattrapage ?,Inscrivez-vous via le portail étudiant.,http://iset.example.com/examens,Examens,"Comment s’inscrire à une session de rattrapage ?
Inscrivez-vous via le portail étudiant.
Lien: http://iset.example.com/examens"
Quand sont publiés les résultats des rattrapages ?,Les résultats sont publiés une semaine après les examens.,http://iset.example.com/resultats,Examens,"Quand sont publiés les résultats des rattrapages ?
Les résultats sont publiés une semaine après les examens.
Lien: http://iset.example.com/resultats"
Comment contester une note ?,Soumettez une demande au bureau académique dans les 7 jours.,http://iset.example.com/examens,Examens,"Comment contester une note ?
Soumettez une demande au bureau académique dans les 7 jours.
Lien: http://iset.example.com/examens"
Y a-t-il des examens en ligne ?,Certains examens sont en ligne. Vérifiez le calendrier.,http://iset.example.com/examens,Examens,"Y a-t-il des examens en ligne ?
Certains examens sont en ligne. Vérifiez le calendrier.
Lien: http://iset.example.com/examens"
Quels sont les règles pour les examens ?,Les règles sont disponibles sur le portail académique.,http://iset.example.com/examens,Examens,"Quels sont les règles pour les examens ?
Les règles sont disponibles sur le portail académique.
Lien: http://iset.example.com/examens"
Comment obtenir un diplôme ?,Le diplôme est délivré après validation de tous les crédits.,http://iset.example.com/administration,Administration,"Comment obtenir un diplôme ?
Le diplôme est délivré après validation de tous les crédits.
Lien: http://iset.example.com/administration"
Quels sont les frais pour un duplicata de diplôme ?,Les frais sont de 50 DT. Contactez l’administration.,http://iset.example.com/administration,Administration,"Quels sont les frais pour un duplicata de diplôme ?
Les frais sont de 50 DT. Contactez l’administration.
Lien: http://iset.example.com/administration"
